	Cycling	Treg	Naïve/Memory	Effector
FAM49A	2.736869665647745e-05	0.0	0.0	0.0021423125641472
SMC6	0.0014083784409959	0.0011117858716523	0.0007453795221637	0.0004563629892367
GEN1	0.0006825120008942	0.0004973220788543	0.0002582057099199	0.0003198554011028
RHOB	0.0	0.0	0.000775479468418	0.0007582267209963
ADCY3	0.0012350078679084	0.0014065532807133	0.000333836613157	0.0012994108361325
DNAJC27	0.0001222197792829	0.0001700948831272	0.0006513828970853	0.0002310964484457
AC013472.3	0.0	0.0	0.0001681916365079	4.0253859653883854e-05
FNDC4	7.340723890748427e-05	0.0	0.0001329819946549	0.0001414366724472
AL133243.3	0.0	0.0002326180111106	0.0005022233030789	0.0002026506627685
CRIM1	0.0006508266078955	0.0003008767691538	0.000282180264704	0.0017426725419491
EIF2AK2	0.0008995535094392	0.0012224427230086	0.0012114552206508	0.0007275405098699
PRKD3	0.0006381303208005	0.0002945677794675	0.0006096877361138	0.0014135888444939
CYP1B1	0.0	0.0001248407711003	6.235895972145308e-05	5.807580600975843e-05
AC010883.2	0.0	0.0	0.0001969827988352	1.0285024340730207e-06
PLEKHH2	0.0	0.0	0.000337914947955	5.5624966992561336e-05
EPAS1	0.0	0.000252395752999	0.0	0.0028873137630651
MSH6	0.0028839112212787	0.000267880570945	0.0006561615445456	0.0003930224873892
SPTBN1	0.0005321958803566	0.0009987593533521	0.0016753183653323	0.0006891534468642
CCDC88A	0.0009163346732735	0.0001101651438564	0.0007737398833197	0.0005093262909023
REL	0.0001706104677691	0.0012426364146763	0.0010802554228251	0.0019564639449341
EHBP1	0.0001450513886191	0.0002762076767923	0.0008194858609057	0.0004493901398655
UGP2	0.0003506719438474	0.0039397984593022	0.0012100712735125	0.0002964588444498
